epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,35295.4,1.15348,0.84679,1.22756,0.78914,0.76721,0.86831,0.63585,0.65614,86.6446,0.71621,0.003862,0.003862,0.003862
64,35855.7,1.14994,0.83546,1.22177,0.74127,0.78137,0.85535,0.62739,0.65394,88.8441,0.71857,0.003763,0.003763,0.003763
65,36415.5,1.14119,0.83826,1.22154,0.77604,0.7469,0.84331,0.62474,0.65034,86.2724,0.71494,0.003664,0.003664,0.003664
66,36975.6,1.13526,0.82295,1.22318,0.77074,0.77663,0.85674,0.64003,0.65079,91.321,0.7176,0.003565,0.003565,0.003565
67,37535,1.13495,0.82131,1.22369,0.78913,0.76756,0.86362,0.64504,0.64691,88.039,0.71667,0.003466,0.003466,0.003466
68,38094.9,1.13594,0.82817,1.21813,0.80358,0.78271,0.87416,0.65606,0.64024,85.6047,0.71356,0.003367,0.003367,0.003367
69,38655,1.12421,0.80619,1.21511,0.80091,0.77216,0.86458,0.65382,0.63434,89.0472,0.70831,0.003268,0.003268,0.003268
70,39214.5,1.11951,0.79923,1.21033,0.78226,0.78296,0.86282,0.65235,0.63296,89.4668,0.70477,0.003169,0.003169,0.003169
71,39774.4,1.11976,0.8069,1.21641,0.80607,0.77812,0.87528,0.66165,0.62934,86.1716,0.70807,0.00307,0.00307,0.00307
72,40334.3,1.11404,0.80354,1.20934,0.80563,0.78519,0.88195,0.67031,0.62511,85.6815,0.70187,0.002971,0.002971,0.002971
73,40893.9,1.11615,0.79084,1.20695,0.80143,0.78846,0.88352,0.67346,0.62084,88.7213,0.70135,0.002872,0.002872,0.002872
74,41453.8,1.1027,0.79378,1.20373,0.82702,0.80749,0.89396,0.68144,0.6144,87.2377,0.69955,0.002773,0.002773,0.002773
75,42013.9,1.09917,0.79935,1.20343,0.79925,0.79911,0.88282,0.67366,0.61094,87.5323,0.69423,0.002674,0.002674,0.002674
76,42574.2,1.09604,0.77196,1.19362,0.78007,0.80258,0.87362,0.67139,0.60797,90.6362,0.68867,0.002575,0.002575,0.002575
77,43133.9,1.08571,0.77157,1.19146,0.80512,0.80161,0.87634,0.67236,0.60585,88.9218,0.68638,0.002476,0.002476,0.002476
78,43693.8,1.08217,0.7622,1.18628,0.79474,0.81381,0.87976,0.67648,0.60274,88.8771,0.68418,0.002377,0.002377,0.002377
79,44254,1.07878,0.76644,1.18021,0.80634,0.82558,0.88396,0.68341,0.59991,88.1861,0.68042,0.002278,0.002278,0.002278
80,44814.4,1.0742,0.75291,1.17699,0.79556,0.81993,0.87836,0.67979,0.59671,91.9459,0.67948,0.002179,0.002179,0.002179
81,45374.3,1.06347,0.73999,1.16702,0.80685,0.82042,0.88361,0.68579,0.59218,89.8068,0.67434,0.00208,0.00208,0.00208
82,45934.4,1.06537,0.74484,1.17493,0.80336,0.82079,0.88587,0.68611,0.59132,91.2513,0.67214,0.001981,0.001981,0.001981
83,46494.4,1.05947,0.74463,1.17575,0.78957,0.8263,0.87996,0.68598,0.58909,90.9475,0.67292,0.001882,0.001882,0.001882
84,47054.4,1.05811,0.73005,1.16913,0.79534,0.82644,0.87989,0.68603,0.58626,89.6685,0.66961,0.001783,0.001783,0.001783
85,47614.8,1.04705,0.7301,1.1664,0.76887,0.83752,0.87671,0.68653,0.58215,91.5205,0.66843,0.001684,0.001684,0.001684
86,48174.8,1.04623,0.73877,1.16399,0.79057,0.84794,0.87995,0.68685,0.57879,88.5064,0.66577,0.001585,0.001585,0.001585
87,48735.3,1.04222,0.72547,1.16838,0.78266,0.84778,0.87654,0.68543,0.57605,91.2266,0.66653,0.001486,0.001486,0.001486
88,49295.3,1.03549,0.71704,1.1657,0.78534,0.83646,0.87965,0.69193,0.57492,91.8149,0.66598,0.001387,0.001387,0.001387
89,49855.7,1.02149,0.70721,1.15467,0.7872,0.83709,0.87863,0.68906,0.57369,93.8761,0.66489,0.001288,0.001288,0.001288
90,50415.7,1.02808,0.71804,1.1594,0.78361,0.83887,0.87881,0.69167,0.57097,92.8931,0.66326,0.001189,0.001189,0.001189
91,50974.8,0.89408,0.54002,1.09358,0.77616,0.84887,0.88067,0.69305,0.56623,91.9685,0.65829,0.00109,0.00109,0.00109
92,51532.9,0.8707,0.52096,1.08019,0.7706,0.84899,0.88214,0.69599,0.561,91.1623,0.65358,0.000991,0.000991,0.000991
93,52091,0.85811,0.50934,1.07166,0.77995,0.85664,0.88276,0.69761,0.55597,90.5785,0.65055,0.000892,0.000892,0.000892
94,52648.9,0.85391,0.50727,1.07675,0.77221,0.85966,0.88062,0.69921,0.55126,90.6062,0.64908,0.000793,0.000793,0.000793
95,53207,0.83846,0.49017,1.0628,0.77567,0.86572,0.88031,0.7022,0.54703,91.0348,0.64687,0.000694,0.000694,0.000694
96,53765,0.82782,0.49334,1.05917,0.7802,0.86453,0.88182,0.70483,0.54348,90.7877,0.6444,0.000595,0.000595,0.000595
97,54323.2,0.82582,0.48634,1.0535,0.78471,0.86444,0.88166,0.7075,0.54043,90.6981,0.64184,0.000496,0.000496,0.000496
98,54881.1,0.81377,0.47088,1.05099,0.78297,0.86432,0.87948,0.70717,0.53745,92.6266,0.64069,0.000397,0.000397,0.000397
99,55438.9,0.80918,0.47433,1.04784,0.77561,0.87252,0.87981,0.70781,0.53403,92.8375,0.63896,0.000298,0.000298,0.000298
100,55996.8,0.79754,0.46465,1.03905,0.77919,0.87048,0.87996,0.70936,0.53192,92.7378,0.63771,0.000199,0.000199,0.000199
